Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
Caro Diario,Nanni Moretti,Movie,,3.6,,7/8/2023,Italian,Drama,To-watch,
Minari,Lee Isaac Chung,Movie,,3.8,,4/26/2021,English,Drama,To-watch,
Judas and the black messiah,Shaka King,Movie,,3.8,,4/26/2021,English,Drama,To-watch,
Nomadland,Chloe Zhao,Movie,,3.8,,4/26/2021,English,Drama,To-watch,
Our friend,Gabriela Cowperthwaite,Movie,,3.5,,1/22/2021,English,Drama,To-watch,
Kumbalangi Nights,Madhu Narayanan,Movie,,4.3,,10/18/2020,Malayalam,Drama,To-watch,
Coup 53,Taghi Amirani,Movie,,3.9,,8/22/2020,Persian,"Documentary, History",To-watch,
Desert One,Barbara Kopple,Movie,,3.8,,8/22/2020,English,"Documentary, History",To-watch,
Boys State,"Amanda McBaine, Jesse Moss",Movie,,4.4,,8/16/2020,English,"Documentary, Society",To-watch,
Snowpiercer,Bong Joon Ho,Movie,,3.6,,7/27/2020,English,Thriller,To-watch,
The Babadook,Jennifer Kent,Movie,,3.4,,6/20/2020,English,Horror,To-watch,https://www.imdb.com/title/tt2321549
The Blind Side,John Lee Hancock,Movie,,3.8,,4/11/2020,English,"Sport, Family",To-watch,
Jojo Rabbit,Taika Waititi,Movie,,4.0,,3/8/2020,English,History,To-watch,
The Sisters Brothers,Jacques Audiard,Movie,,3.5,,3/8/2020,English,Drama,To-watch,
Panga,Ashwiny Iyer Tiwari,Movie,,4.2,,2/1/2020,Hindi,Sport,To-watch,
Nil battey sannata,Ashwiny Iyer Tiwari,Movie,,4.2,,2/1/2020,Hindi,Drama,To-watch,
Aamis-Ravening,Bhaskar Hazarika,Movie,,4.2,,12/7/2019,Assamese,Drama,To-watch,
The lighthouse,Robert Eggers,Movie,,4.1,,10/20/2019,English,Drama,To-watch,
The story of India,Michael Wood,Series,,4.3,,9/16/2019,English,"Documentary, History",To-watch,
Never Look Away,Florian Henckel von Donnersmarck,Movie,,3.8,,2/9/2019,German,Thriller,To-watch,
If Beale Street Could Talk,Barry Jenkins,Movie,,3.8,,1/10/2019,English,Drama,To-watch,
Maborosi,Hirokazu Koreeda,Movie,,3.8,,12/26/2018,Japanese,Drama,To-watch,
Badhaai Ho,Amit Ravindernath Sharma,Movie,,4.1,,11/2/2018,Hindi,Comedy,To-watch,
Love Sonia,Tabrez Noorani,Movie,,3.7,,9/19/2018,Hindi,Drama,To-watch,
Gali Guleiyan,Dipesh Jain,Movie,,3.9,,9/8/2018,Hindi,Drama,To-watch,
The Rider,Chloe Zhao,Movie,,3.8,,4/14/2018,English,Western,To-watch,
In between,Maysaloun Hamoud,Movie,,3.7,,1/5/2018,Arabic,Drama,To-watch,
Enemy at the Gates,Jean-Jacques Annaud,Movie,,3.8,,1/4/2018,English,History,To-watch,
The Devil's Backbone,Guillermo del Toro,Movie,,3.8,,12/2/2017,English,Horror,To-watch,
This Is Spinal Tap,Rob Reiner,Movie,,4.0,,8/11/2017,English,Comedy,To-watch,
Graduation,Cristian Mungiu,Movie,,3.7,,4/15/2017,Romanian,Crime,To-watch,
Behind the Sun,Walter Salles,Movie,,3.9,,2/9/2017,Portuguese,Drama,To-watch,
Parzania,Rahul Dholakia,Movie,,3.9,,2/5/2017,Hindi,Drama,To-watch,
A Monster Calls,J. A. Bayona,Movie,,3.8,,12/23/2016,English,Fantasy,To-watch,
Toni Erdmann,Maren Ade,Movie,,3.7,,12/16/2016,German,Comedy,To-watch,
You Can Count on Me,Kenneth Lonergan,Movie,,3.8,,11/21/2016,English,Drama,To-watch,
Our Little Sister,Hirokazu Koreeda,Movie,,3.8,,7/15/2016,Japanese,Drama,To-watch,
Zero Days,Alex Gibney,Movie,,3.9,,7/8/2016,English,Documentary,To-watch,
The Music of Strangers,Morgan Neville,Movie,,3.9,,6/10/2016,English,Documentary,To-watch,
De Palma,"Jake Paltrow, Noah Baumbach",Movie,,3.7,,6/10/2016,English,Documentary,To-watch,
28 Days Later...,Danny Boyle,Movie,,3.8,,3/20/2016,English,Sci-Fi,To-watch,
The Umbrellas of Cherbourg,Jacques Demy,Movie,,4.0,,2/13/2016,French,Romance,To-watch,
Anomalisa,"Charlie Kaufman, Duke Johnson",Movie,,3.7,,1/8/2016,English,Comedy,To-watch,
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,Movie,,3.8,,1/1/2016,English,Biography,To-watch,
Top of the Lake,"Jane Campion, Gerard Lee",Series,,3.8,,12/31/2015,English,Thriller,To-watch,
The Squid and the Whale,Noah Baumbach,Movie,,3.7,,12/31/2015,English,Comedy,To-watch,
Hitchcock/Truffaut,Kent Jones,Movie,,3.7,,12/4/2015,English,Documentary,To-watch,
The Man Who Wasn't There,"Ethan Coen, Joel Coen",Movie,,3.8,,11/27/2015,English,Thriller,To-watch,
Diva,Jean-Jacques Beineix,Movie,,3.7,,11/13/2015,French,Thriller,To-watch,
Boy A,John Crowley,Movie,,3.8,,11/6/2015,English,Drama,To-watch,
Titli,Kanu Behl,Movie,,3.8,,10/30/2015,Hindi,Thriller,To-watch,
Victoria,Sebastian Schipper,Movie,,3.9,,10/13/2015,English,Thriller,To-watch,
The Golden Dream,Diego Quemada-Diez,Movie,,3.9,,9/4/2015,Spanish,Drama,To-watch,
Rosenwald,Aviva Kempner,Movie,,4.0,,8/28/2015,English,"Documentary, War",To-watch,
True Grit,"Ethan Coen, Joel Coen",Movie,,3.8,,8/18/2015,English,Western,To-watch,
Phoenix,Christian Petzold,Movie,,3.7,,8/2/2015,English,Drama,To-watch,
Read My Lips,Jacques Audiard,Movie,,3.7,,6/26/2015,French,Thriller,To-watch,
Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Movie,,3.9,,6/12/2015,English,Romance,To-watch,
Princess Mononoke,Hayao Miyazaki,Movie,,4.2,,5/30/2015,Japanese,Fantasy,To-watch,
Merchants of Doubt,Robert Kenner,Movie,,3.9,,3/6/2015,English,Documentary,To-watch,
An Honest Liar,"Tyler Measom, Justin Weinstein",Movie,,3.8,,3/6/2015,English,Documentary,To-watch,
"The Good, the bad, the weird",Jee-woon Kim,Movie,,3.7,,3/1/2015,Korean,Western,To-watch,
Hope and Glory,John Boorman,Movie,,3.7,,2/28/2015,English,Drama,To-watch,
The General,John Boorman,Movie,,3.7,,2/28/2015,English,Biography,To-watch,
Let the Right One In,Tomas Alfredson,Movie,,4.0,,2/20/2015,Swedish,Horror,To-watch,
What We Do in the Shadows,"Taika Waititi, Jemaine Clement",Movie,,3.9,,2/20/2015,English,Comedy,To-watch,
Iqbal,Nagesh Kukunoor,Movie,,4.1,,1/28/2015,Hindi,Sport,To-watch,
The Promise,"Luc Dardenne, Jean-Pierre Dardenne",Movie,,4.0,,1/9/2015,French,Drama,To-watch,
Boys Don't Cry,Kimberly Peirce,Movie,,3.8,,11/14/2014,English,Drama,To-watch,
The Look of Silence,Joshua Oppenheimer,Movie,,4.2,,9/5/2014,English,"Documentary, War",To-watch,
The Act of Killing,"Joshua Oppenheimer, Christine Cynn, Anonymous",Movie,,4.1,,9/5/2014,English,"Documentary, War",To-watch,
Seymour: An Introduction,Ethan Hawke,Movie,,3.8,,9/5/2014,English,Biography,To-watch,
My Dinner with Andre,Louis Malle,Movie,,3.9,,8/22/2014,English,Drama,To-watch,
Seven Up!,Paul Almond,Movie,,4.1,,7/11/2014,English,"Documentary, Society",To-watch,
We are the best!,Lukas Moodysson,Movie,,3.8,,6/1/2014,Swedish,Comedy,To-watch,
The Reader,Stephen Daldry,Movie,,3.8,,4/20/2014,English,Drama,To-watch,
The Wrestler,Darren Aronofsky,Movie,,4.0,,3/28/2014,English,Sport,To-watch,
Throne of Blood,Akira Kurosawa,Movie,,4.1,,3/1/2014,Japanese,Drama,To-watch,
"Like Father, Like Son",Hirokazu Koreeda,Movie,,3.9,,1/25/2014,Japanese,Drama,To-watch,
Central Station,Walter Salles,Movie,,4.0,,1/10/2014,Portuguese,Drama,To-watch,
Moonrise Kingdom,Wes Anderson,Movie,,3.9,,1/10/2014,English,Romance,To-watch,
The Rocket,Kim Mordaunt,Movie,,3.7,,1/10/2014,English,War,To-watch,
Ship of Theseus,Anand Gandhi,Movie,,4.1,,1/5/2014,Hindi,Drama,To-watch,
The Young Victoria,Jean-Marc Vallee,Movie,,3.7,,11/1/2013,English,Biography,To-watch,
Zinda Bhaag,"Meenu Gaur, Farjad Nabi",Movie,,3.8,,10/26/2013,Hindi,Drama,To-watch,
Thank You for Smoking,Jason Reitman,Movie,,3.8,,8/16/2013,English,Comedy,To-watch,
"Synecdoche, New York",Charlie Kaufman,Movie,,3.8,,8/3/2013,English,Comedy,To-watch,
Blowup,Michelangelo Antonioni,Movie,,3.8,,7/6/2013,English,Thriller,To-watch,
Ponyo,Hayao Miyazaki,Movie,,3.9,,5/19/2013,Japanese,Fantasy,To-watch,
Mumbai Cutting,"Revathy, Shashanka Ghosh, Ayush Raina, Kundan Shah, Jahnu Barua, Sudhir Mishra, Rituparno Ghosh, Anurag Kashyap, Manish Jha, Ruchi Narain, Rahul Dholakia",Movie,,3.8,,1/18/2013,Hindi,Drama,To-watch,
Hiroshima mon amour,Alain Resnais,Movie,,4.0,,12/21/2012,French,Romance,To-watch,
Amour,Michael Haneke,Movie,,4.0,,12/21/2012,French,Romance,To-watch,
A Single Man,Tom Ford,Movie,,3.8,,11/11/2012,English,Romance,To-watch,
Leila,Dariush Mehrjui,Movie,,3.9,,4/22/2012,Persian,Drama,To-watch,
One Day in September,Kevin Macdonald,Movie,,4.0,,4/20/2012,English,"Documentary, Sport",To-watch,
Still Walking,Hirokazu Koreeda,Movie,,3.9,,4/8/2012,Japanese,Drama,To-watch,
Middle of nowhere,Ava Duvernay,Movie,5,3.2,6/21/2021,6/21/2021,English,Drama,Watched,
Mare of Easttown,Brad Ingelsby,Series,5,4.3,6/14/2021,6/14/2021,English,Drama,Watched,
Beanpole,Kantemir Balagov,Movie,1,3.6,6/5/2021,3/8/2020,Russian,Drama,Watched,
Tenet,Christopher Nolan,Movie,1,3.8,6/1/2021,1/24/2021,English,Thriller,Watched,
The sinner,Derek Simonds,Series,5,4,4/25/2021,4/25/2021,English,Thriller,Watched,
The Valhalla murders,Thordur Palsson,Series,4,3.6,2/15/2021,2/15/2021,Icelandic,Thriller,Watched,
Giri/Haji,Joe Barton,Series,4,4,1/30/2021,1/30/2021,Japanese,Thriller,Watched,
One night in Miami,Regina King,Movie,4,3.3,1/20/2021,1/20/2021,English,Drama,Watched,
The devil all the time,Antonio Campos,Movie,5,3.7,1/20/2021,1/20/2021,English,Drama,Watched,
Before we die,"Wilhelm Behrman, Nicklas Rockstrom",Series,4,4,12/25/2020,12/25/2020,Swedish,Thriller,Watched,
Modus,"Mai Brostrom, Anne Holt",Series,4,3.4,12/20/2020,12/20/2020,Swedish,Thriller,Watched,
Good Time,"Benny Safdie, Josh Safdie",Movie,4,3.7,11/20/2020,8/11/2017,English,Thriller,Watched,
Sudani from Nigeria,Zakariya Mohammed,Movie,5,4.1,11/20/2020,6/28/2020,Malayalam,Sport,Watched,https://www.imdb.com/title/tt7581572/
Tokyo Trial,"Rob King, Pieter Verhoeff",Series,5,3.8,10/24/2020,10/24/2020,English,"Documentary, War",Watched,
1917,Sam Mendes,Movie,4,4.2,10/17/2020,10/17/2020,English,War,Watched,
Endeavour,Colin Dexter,Series,4,4.2,9/15/2020,8/16/2020,English,Thriller,Watched,
Late Spring,Yasujiro Ozu,Movie,3,4.2,8/29/2020,8/18/2013,Japanese,Drama,Watched,
Unda,Khalid Rahman,Movie,4,4.0,8/29/2020,8/29/2020,Malayalam,Drama,Watched,
Chhapaak,Meghna Gulzar,Movie,3,2.4,8/2/2020,3/8/2020,Hindi,Drama,Watched,
Raat Akeli Hai,Honey Trehan,Movie,4,3.5,8/1/2020,8/1/2020,Hindi,Thriller,Watched,
Mother,Bong Joon Ho,Movie,5,3.9,7/28/2020,4/29/2016,Korean,Thriller,Watched,
Defending Jacob,Morten Tyldum,Series,5,4.0,7/26/2020,7/26/2020,English,Thriller,Watched,
Fireworks Wednesday,Asghar Farhadi,Movie,4,3.9,7/23/2020,7/28/2017,Persian,Drama,Watched,https://www.imdb.com/title/tt0845439/
Maheshinte Prathikaaram,Dileesh Pothan,Movie,4,4.2,7/20/2020,7/20/2020,Malayalam,Drama,Watched,https://www.imdb.com/title/tt4851630/
Trumbo,Jay Roach,Movie,4,3.8,7/17/2020,7/17/2020,English,Biography,Watched,https://www.imdb.com/name/nm0005366
Greyhound,Aaron Schneider,Movie,1,3.5,7/15/2020,7/15/2020,English,War,Watched,
Ee. Ma. Yau.,Lijo Jose Pellissery,Movie,5,4.2,7/10/2020,7/10/2020,Malayalam,Drama,Watched,https://www.imdb.com/title/tt7231194
Kapoor and Sons,Shakun Batra,Movie,3,3.9,7/5/2020,7/5/2020,Hindi,Drama,Watched,
Axone,Nicholas Kharkongor,Movie,5,3.6,7/2/2020,7/2/2020,Hindi,Drama,Watched,
The Queen,Stephen Frears,Movie,3,3.7,6/13/2020,6/13/2020,English,"Biography, Drama",Watched,
Press,Mike Bartlett,Series,4,3.8,6/6/2020,6/6/2020,English,Drama,Watched,
Space Force,Greg Daniels,Series,4,3.5,6/3/2020,6/3/2020,English,Comedy,Watched,
Paatal Lok,Sudip Sharma,Series,5,3.8,5/15/2020,5/15/2020,Hindi,Thriller,Watched,
Cutie and the boxer,Zachary Heinzerling,Movie,4,3.6,5/11/2020,5/1/2014,English,"Documentary, Biography",Watched,
Counterpart,Justin Marks,Series,4,4.1,4/20/2020,4/20/2020,English,Thriller,Watched,
Mardaani 2,Gopi Puthran,Movie,3,3.7,3/28/2020,3/28/2020,Hindi,Thriller,Watched,
The Morning Show,"Jay Carson, Kerry Ehrin",Series,4,4.2,3/28/2020,3/28/2020,English,Drama,Watched,
Son of Saul,Laszlo Nemes,Movie,5,3.8,3/28/2020,12/18/2015,Hungarian,War,Watched,
The Foreigner,Martin Campbell,Movie,4,3.5,3/7/2020,3/7/2020,English,Thriller,Watched,
Ford v Ferrari,James Mangold,Movie,4,4.1,3/6/2020,3/6/2020,English,"Sport, Family",Watched,
Diner,Mika Ninagawa,Movie,4,3.0,3/6/2020,3/6/2020,Japanese,Drama,Watched,
A prophet,Jacques Audiard,Movie,5,4.0,3/3/2020,5/13/2016,French,Thriller,Watched,
Jamtara,"Trishant Srivastava, Nishant Varma",Series,4,3.8,2/28/2020,2/20/2020,Hindi,Thriller,Watched,
Parasite,Bong Joon Ho,Movie,5,4.3,2/25/2020,12/7/2019,Korean,Drama,Watched,
Halt and Catch Fire,"Christopher Cantwell, Christopher C. Rogers",Series,4,4.2,2/20/2020,6/12/2015,English,"History, Drama",Watched,
"Spring, Summer, Fall, Winter… and Spring",Ki-duk Kim,Movie,1,4.1,1/20/2020,4/20/2014,Korean,Drama,Watched,
The peanut butter falcon,"Tyler Nilson, Michael Schwartz",Movie,4,3.8,1/18/2020,8/17/2019,English,Sport,Watched,
Sunset Blvd.,Billy Wilder,Movie,5,4.2,1/12/2020,12/27/2012,English,Drama,Watched,
Burning,Chang-dong Lee,Movie,1,3.9,1/8/2020,11/7/2018,Korean,Mystery,Watched,
Knives out,Rian Johnson,Movie,4,4.1,1/7/2020,12/7/2019,English,Thriller,Watched,
The Two Popes,Fernando Meirelles,Movie,4,3.9,1/6/2020,12/7/2019,English,"Drama, Religion",Watched,
Yojimbo,Akira Kurosawa,Movie,4,4.2,1/4/2020,11/1/2014,Japanese,Drama,Watched,
One child nation,"Nanfu Wang, Jialing Zhang",Movie,4,3.8,1/3/2020,8/17/2019,Chinese,Documentary,Watched,
Captain Fantastic,Matt Ross,Movie,4,4.0,12/29/2019,7/8/2016,English,Comedy,Watched,
The Handmaiden,Chan-wook Park,Movie,4,4.1,12/27/2019,10/21/2016,Korean,Thriller,Watched,
Fleabag,Phoebe Waller-Bridge,Series,5,4.4,12/25/2019,12/25/2019,English,Comedy,Watched,
Tumbbad,"Anand Gandhi, Adesh Prasad, Rahi Anil Barve",Movie,5,4.2,12/20/2019,10/13/2018,Hindi,Drama,Watched,
The Irishman,Martin Scorsese,Movie,2,4.1,12/7/2019,12/1/2019,English,Thriller,Watched,
Destroyer,Karyn Kusama,Movie,4,3.1,11/21/2019,11/21/2019,English,Thriller,Watched,
Everybody knows,Asghar Farhadi,Movie,4,3.5,11/18/2019,11/18/2019,Spanish,Drama,Watched,
Section 375,Ajay Bahl,Movie,4,4.3,11/18/2019,9/21/2019,Hindi,Thriller,Watched,
The Lives of Others,Florian Henckel von Donnersmarck,Movie,4,4.2,11/7/2019,2/15/2013,German,Thriller,Watched,
The Second Mother,Anna Muylaert,Movie,1,3.9,10/23/2019,8/28/2015,Spanish,Comedy,Watched,
The Killing,Veena Sud,Series,4,4.1,10/20/2019,12/11/2016,English,Thriller,Watched,
District 9,Neill Blomkamp,Movie,4,4.0,10/20/2019,4/8/2016,English,Sci-Fi,Watched,
Spirited Away,"Hayao Miyazaki, Kirk Wise",Movie,4,4.3,10/3/2019,2/17/2014,Japanese,Fantasy,Watched,
The Family Man,"Krishna D. K., Raj Nidimoru",Series,5,4.4,10/1/2019,9/25/2019,Hindi,Thriller,Watched,
Chhichhore,Nitesh Tiwari,Movie,4,4.3,9/25/2019,9/21/2019,Hindi,Comedy,Watched,
The story of China,Michael Wood,Series,5,4.1,9/17/2019,9/16/2019,English,"Documentary, History",Watched,
Article 15,Anubhav Sinha,Movie,5,4.3,9/16/2019,7/29/2019,Hindi,Drama,Watched,
Homicide: Life on the Street,David Simon,Series,5,4.3,9/16/2019,9/19/2015,English,Thriller,Watched,
Marshall,Reginald Hudlin,Movie,5,3.6,9/15/2019,9/15/2019,English,History,Watched,
Gleason,Clay Tweel,Movie,5,4.2,9/2/2019,7/29/2016,English,"Documentary, Sport",Watched,
Once upon a time in Hollywood,Quentin Tarantino,Movie,4,4.4,8/17/2019,7/29/2019,English,Comedy,Watched,
Cold War,Pawel Pawlikowski,Movie,3,3.9,7/31/2019,12/22/2018,Polish,Drama,Watched,
Miss Bala,Gerardo Naranjo,Movie,4,3.8,7/31/2019,7/6/2019,Spanish,Thriller,Watched,
Traitors,Bathsheba Doren,Series,5,3.3,7/31/2019,7/30/2019,English,Thriller,Watched,
Samurai Marathon 1855,Bernard Rose,Moive,4,3.7,7/28/2019,7/28/2019,Japanese,Drama,Watched,
Eighth Grade,Bo Burnham,Movie,4,3.8,7/23/2019,8/6/2018,English,Comedy,Watched,
Manmarziyaan,Anurag Kashyap,Movie,3,3.5,7/22/2019,9/19/2018,Hindi,Romance,Watched,
Elite Squad: The Enemy Within,Jose Padilha,Movie,4,4.1,7/22/2019,2/9/2017,Portuguese,Thriller,Watched,
Lust Stories,"Anurag Kashyap, Zoya Akhtar, Dibakar Banerjee, Karan Johar",Movie,3,3.3,7/20/2019,7/15/2019,Hindi,Romance,Watched,
Occupied,"Karianne Lund, Jo Nesbo",Series,4,3.9,7/14/2019,6/21/2019,Norwegian,Thriller,Watched,
First Man,Damien Chazelle,Movie,3,3.7,7/4/2019,10/13/2018,English,Biography,Watched,
Tully,Jason Reitman,Movie,4,3.5,7/4/2019,5/4/2018,English,Comedy,Watched,
Miss Bala,Catherine Hardwicke,Movie,5,2.8,7/4/2019,7/6/2019,English,Thriller,Watched,
Free Solo,"Jimmy Chin, Elizabeth Chai Vasarhelyi",Movie,5,4.3,7/4/2019,9/28/2018,English,"Documentary, Sport",Watched,
BlacKkKlansman,Spike Lee,Movie,4,3.8,6/20/2019,11/30/2018,English,Biography,Watched,
The Help,Tate Taylor,Movie,5,4.1,6/20/2019,6/20/2019,English,Drama,Watched,
Molly's Game,Aaron Sorkin,Movie,5,3.8,6/20/2019,6/20/2019,English,Thriller,Watched,
Delhi Crime,Richie Mehta,Series,5,4.3,6/20/2019,6/10/2019,Hindi,Thriller,Watched,
Gully Boy,Zoya Akhtar,Movie,4,4.3,6/15/2019,2/16/2019,Hindi,Romance,Watched,
Chopsticks,Sachin Yardi,Movie,5,3.3,6/1/2019,6/1/2019,Hindi,Comedy,Watched,
Booksmart,Olivia Wilde,Movie,4,3.8,5/29/2019,5/22/2019,English,Comedy,Watched,
Bareilly Ki Barfi,Ashwiny Iyer Tiwari,Movie,5,3.8,5/15/2019,9/30/2017,Hindi,Comedy,Watched,
Informer,"Rory Haines, Sohrab Noshirvani",Series,5,3.9,3/29/2019,3/20/2019,English,Thriller,Watched,
Moonlight,Barry Jenkins,Movie,5,3.7,1/10/2019,1/10/2019,English,Drama,Watched,
Sour Grapes,"Jerry Rothwell, Reuben Atlas",Movie,4,3.7,1/6/2019,1/6/2019,English,"Documentary, Biography",Watched,
Andhadhun,Sriram Raghavan,Movie,4,4.3,12/28/2018,12/28/2018,Hindi,Thriller,Watched,
Qarib Qarib Singlle,Tanuja Chandra,Movie,4,3.5,12/27/2018,12/27/2018,Hindi,Romance,Watched,
The Ballad of Buster Scruggs,"Joel Coen, Ethan Coen",Movie,4,3.7,12/26/2018,12/26/2018,English,Western,Watched,
Shoplifters,Hirokazu Koreeda,Movie,5,4.1,12/25/2018,12/25/2018,Japanese,Drama,Watched,
Bohemian Rhapsody,Bryan Singer,Movie,4,4.1,12/2/2018,12/2/2018,English,Music,Watched,
Widows,Steve McQueen,Movie,4,3.6,11/30/2018,11/30/2018,English,Thriller,Watched,
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Movie,4,4.1,11/25/2018,11/25/2018,English,Comedy,Watched,
Finding Nemo,"Andrew Stanton, Lee Unkrich",Movie,4,4.1,11/25/2018,11/25/2018,English,Comedy,Watched,
The Honourable Woman,Hugo Blick,Series,4,4.1,11/25/2018,11/25/2018,English,Thriller,Watched,
Toy Story 2,"John Lasseter, Lee Unkrich, Ash Brannon",Movie,4,4.0,11/25/2018,11/25/2018,English,Comedy,Watched,
A Star Is Born,Bradley Cooper,Movie,4,4.0,11/25/2018,11/25/2018,English,Music,Watched,
Bodyguard,Jed Mercurio,Series,4,4.1,11/23/2018,11/23/2018,English,Thriller,Watched,
La Mante,"Alice Chegaray-Breugnot, Nicolas Jean, Gregoire Demaison, Laurent Vivier",Series,5,3.8,11/23/2018,11/23/2018,French,Thriller,Watched,
22-Jul,Paul Greengrass,Movie,4,3.4,10/20/2018,10/20/2018,English,Thriller,Watched,
The Angel,Ariel Vromen,Movie,4,3.4,10/7/2018,10/7/2018,English,Thriller,Watched,
